Reference,Value,Footprint,Datasheet,digikey link,Qty,Price,Total price
"R17, R20",3k3,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,~,https://www.digikey.fi/en/products/detail/yageo/RC0402FR-133K3L/14286444,2,"0,11",0.22
SW2,SW_Push,Button_Switch_SMD:SW_SPST_PTS645,~,https://www.digikey.fi/en/products/detail/c-k/PTS645SM43SMTR92-LFS/1146840,1,"0,3",0.3
U1-U3,AP9101CK,Package_TO_SOT_SMD:SOT-23-5,https://www.diodes.com/assets/Datasheets/AP9101C.pdf,https://www.digikey.fi/en/products/detail/diodes-incorporated/AP9101CK-AHTRG1/5731842,3,"0,52",1.56
"U4, U6",DRV8871DDA,Package_SO:Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,http://www.ti.com/lit/ds/symlink/drv8871.pdf,https://www.digikey.it/en/products/detail/texas-instruments/DRV8871DDAR/5639726,2,"3,38",6.76
U5,LM2596S-5,Package_TO_SOT_SMD:TO-263-5_TabPin3,http://www.ti.com/lit/ds/symlink/lm2596.pdf,https://www.digikey.fi/en/products/detail/texas-instruments/LM2596S-5-0/3701226,1,"11,16",11.16
U7,NUCLEO64-F411RE,Module:ST_Morpho_Connector_144_STLink,http://www.st.com/st-web-ui/static/active/en/resource/technical/document/data_brief/DM00105918.pdf,Gotten from class,1,0,0
"U8, U9",74LVC1G11,Package_TO_SOT_SMD:SOT-23-6_Handsoldering,http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf,https://www.digikey.fi/en/products/detail/diodes-incorporated/74LVC1G11W6-7/3829446,2,"0,45",0.9
,,,,,,,
Not on PCB,B3F-1020,Not on PCB,,https://www.digikey.fi/fi/products/detail/omron-electronics-inc-emc-div/B3F-1020/44059?utm_adgroup=Tactile%20Switches&utm_source=google&utm_medium=cpc&utm_campaign=Shopping_Product_Switches&utm_term=&productid=44059&gclid=Cj0KCQjw2cWgBhDYARIsALggUhrMcVHIo79TlKi3VMpoGUYj5XC8-akj0oj3wKjnFhx83st14pL0OdUaAkT7EALw_wcB,2,"0,4464",0.8928
Not on PCB,PMB1297PYB1-AY.(2).GN,Not on PCB,,https://www.digikey.fi/fi/products/detail/sunon-fans/PMB1297PYB1-AY-2-GN/1021216,1,"22,9",22.9152
Not on PCB,GP2Y0A41SK0F,Not on PCB,,https://www.digikey.fi/fi/products/detail/sharp-socle-technology/GP2Y0A41SK0F/3884447?utm_adgroup=&utm_source=google&utm_medium=cpc&utm_campaign=PMAX%20Shopping_Product_Sensors&utm_term=&productid=3884447&gclid=CjwKCAiA3KefBhByEiwAi2LDHJzTFKLFo5YUJdeW0KywEowmhQ_Cj8PY59DBBi5g1606u3CrWaCGNBoCu9EQAvD_BwE,2,"13,37",26.734
Not on PCB,SEN0373,Not on PCB,,https://www.digikey.fi/fi/products/detail/dfrobot/SEN0373/13590881?utm_adgroup=General&utm_source=google&utm_medium=cpc&utm_campaign=PMax%20Shopping_Product_Zombie%20SKU&utm_term=&productid=13590881&gclid=CjwKCAiArY2fBhB9EiwAWqHK6sSK9sG2r2HP3PeoOPxXPMrFOIsyrFqXOFLGO8NZcBn7gwlS-yPCMxoCJi4QAvD_BwE,1,"16,12",16.12
Not on PCB,Bluetooth HC-05 module,Not on PCB,,https://www.fruugo.fi/bluetooth-hc-05-moduuli/p-52178911-105041881?language=fi&ac=croud&gclid=EAIaIQobChMIlLv194ze_AIVFNZ3Ch2uCQD5EAQYBiABEgLpxvD_BwE,1,"10,95",10.95
Not on PCB,Etronix Sm Female Connector To Deans Male Plug,Not on PCB,,https://www.hobbylinna.fi/fi/product/etronix-sm-female-connector-to-deans-male-plug/ET0809,1,"2,50",2.5
Not on PCB,Battery 1800mAh,Not on PCB,,https://www.hobbylinna.fi/fi/product/voltz-1800mah-3s-11-1v-30c-lipo-battery/VZ0418003S,1,"22,30",22.3
,,,,,,,
,,,,,,Total:,157.502
